,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Browser,Device/OS,Year,Month,Day,Hour,Minute,Second,DayOfWeek
12,2020-09-30 21:35:31,57.91.207.84,98.96.110.38,53471,38048,ICMP,64,Control,DNS,Earum sit est et eaque ipsam. Vero repellendus error iusto eveniet.,No Detection,74.2,yes,Intrusion,Known Pattern A,Blocked,Medium,Vaibhav Kala,Segment B,"Silchar, Kerala",No proxy,Log Data,Alert Data,Server,Opera,Windows,2020,9,30,21,35,31,2
13,2021-01-13 02:30:18,80.28.21.123,111.204.103.106,43729,10845,ICMP,1341,Data,HTTP,"Ab voluptatibus nam aperiam. Est sed nostrum animi quae quas. Rerum minus possimus quis.
Cupiditate provident doloremque aliquam maiores tenetur tempora.
Similique dolor ullam illo placeat.",No Detection,62.14,no,Malware,Known Pattern A,Ignored,Low,Siya Gera,Segment C,"Gudivada, Odisha",59.131.15.72,No Data,No Data,Firewall,Mozilla,Windows,2021,1,13,2,30,18,2
14,2023-02-01 13:17:17,54.163.130.178,62.112.149.214,47795,35243,UDP,913,Data,DNS,"Sit doloremque explicabo. Cupiditate placeat exercitationem. Dolores rerum iste necessitatibus libero voluptate.
Suscipit itaque inventore eveniet ipsa. Ea ipsa minima impedit aliquam cumque.",No Detection,72.65,yes,Malware,Known Pattern B,Logged,High,Inaaya  Soman,Segment B,"Silchar, Maharashtra",155.121.88.187,No Data,No Data,Firewall,Mozilla,Linux,2023,2,1,13,17,17,2
15,2023-09-15 20:35:21,130.163.192.252,12.192.2.112,24912,21176,TCP,425,Data,DNS,Voluptates nam doloremque. Eius amet officiis aperiam delectus mollitia pariatur. Ducimus aut in dolorem ipsum molestiae.,No Detection,91.56,yes,Intrusion,Known Pattern B,Logged,Medium,Shaan Subramaniam,Segment C,"Bhiwandi, Tripura",No proxy,Log Data,No Data,Firewall,Opera,Linux,2023,9,15,20,35,21,4
16,2023-04-18 16:46:46,4.255.187.165,136.159.186.239,39934,5259,TCP,838,Control,HTTP,Sed facere culpa aliquam. Adipisci error quisquam reprehenderit itaque fugit illum. Minima exercitationem occaecati nemo repudiandae officia quasi. Tempora maxime commodi illo.,No Detection,43.83,yes,DDoS,Known Pattern B,Ignored,High,Samarth Ratti,Segment B,"Solapur, Telangana",No proxy,Log Data,No Data,Server,Opera,Windows,2023,4,18,16,46,46,1
17,2023-02-21 07:02:55,212.164.196.41,32.26.31.49,16513,50583,TCP,969,Data,HTTP,"Dolore nisi voluptatem. Debitis explicabo fuga perferendis esse omnis.
Sit voluptatibus aliquid eos molestias cumque. Harum rem doloremque officiis nesciunt velit suscipit.",No Detection,40.46,no,DDoS,Known Pattern A,Logged,Low,Shayak Kapadia,Segment B,"Darbhanga, Mizoram",20.252.145.34,Log Data,Alert Data,Firewall,Mozilla,Linux,2023,2,21,7,2,55,1
18,2020-12-29 02:50:47,119.101.120.119,47.125.34.52,4510,26783,TCP,124,Control,DNS,"Qui sapiente laboriosam minima veritatis impedit vel. Placeat itaque incidunt non. Consequuntur quo quod.
Recusandae similique explicabo error labore impedit et. Beatae tenetur voluptatum veniam.",No Detection,44.75,yes,DDoS,Known Pattern B,Ignored,High,Faiyaz Sathe,Segment C,"Rampur, Rajasthan",No proxy,No Data,No Data,Firewall,Mozilla,Windows,2020,12,29,2,50,47,1
19,2020-07-27 00:00:53,104.176.150.78,110.80.185.102,55147,17595,TCP,461,Data,HTTP,"Ipsa est placeat cumque ut id. Quisquam provident quidem beatae. Corporis nam aut expedita reprehenderit.
Expedita eum cupiditate dolor beatae inventore minus.",IoC Detected,13.19,no,DDoS,Known Pattern B,Ignored,High,Zara Sachar,Segment B,"Ahmednagar, Uttarakhand",106.203.136.99,Log Data,Alert Data,Server,Mozilla,iPhone,2020,7,27,0,0,53,0
20,2021-07-16 20:45:42,116.61.253.182,170.92.148.90,24907,37634,ICMP,845,Control,DNS,"Ipsam ullam doloribus magni eos beatae eveniet. Labore provident vel perspiciatis doloribus excepturi.
Modi eaque dolor ut.",No Detection,89.99,yes,Malware,Known Pattern B,Blocked,Medium,Manjari Randhawa,Segment A,"Kharagpur, West Bengal",71.135.96.151,Log Data,No Data,Firewall,Mozilla,Macintosh,2021,7,16,20,45,42,4
21,2022-04-29 14:46:46,214.247.90.42,196.26.121.164,37998,1757,UDP,410,Control,DNS,"Architecto voluptatum delectus.
Aut quia fugiat molestias eum magnam animi. Dignissimos incidunt magnam officiis omnis iste soluta.",IoC Detected,86.91,no,Malware,Known Pattern B,Blocked,Low,Sahil Kapoor,Segment C,"Tadepalligudem, Rajasthan",No proxy,Log Data,Alert Data,Server,Mozilla,Windows,2022,4,29,14,46,46,4
22,2023-02-24 06:39:25,57.7.171.107,76.146.23.52,3133,46077,UDP,1425,Data,DNS,Praesentium voluptatibus sapiente.,No Detection,72.25,no,DDoS,Known Pattern A,Logged,High,Akarsh Khurana,Segment A,"Gaya, Gujarat",169.32.12.215,No Data,Alert Data,Server,Mozilla,Windows,2023,2,24,6,39,25,4
23,2023-09-15 15:43:03,46.236.76.78,68.194.124.162,40832,28015,UDP,118,Data,HTTP,"Esse porro corrupti. Iusto magnam sunt dolorem fuga explicabo.
Incidunt corrupti rem quisquam. Est iure suscipit. Pariatur tempora suscipit cum.",IoC Detected,96.27,no,Malware,Known Pattern A,Logged,Medium,Dhanush Sagar,Segment A,"Chandrapur, Chhattisgarh",50.108.129.83,No Data,No Data,Firewall,Mozilla,Windows,2023,9,15,15,43,3,4
24,2023-10-06 06:53:51,71.41.31.239,105.193.254.47,39911,27107,TCP,1386,Control,DNS,"Ducimus totam dolor fugiat ipsa. Eum quas consectetur distinctio cum.
Voluptatum numquam ab quasi molestiae laboriosam maiores. Illo nemo nulla cupiditate placeat nemo quo.",IoC Detected,67.43,no,DDoS,Known Pattern A,Blocked,Medium,Anika Sharaf,Segment C,"Guntakal, Rajasthan",No proxy,Log Data,No Data,Server,Mozilla,Windows,2023,10,6,6,53,51,4
25,2023-10-06 02:37:35,128.47.86.24,9.149.23.14,23021,31279,UDP,433,Control,DNS,Neque repellendus modi debitis dolorem officia. Placeat quae ipsum sapiente. Quia aspernatur dolores incidunt.,No Detection,89.86,yes,Intrusion,Known Pattern A,Logged,Low,Drishya Zachariah,Segment C,"Giridih, Assam",No proxy,Log Data,Alert Data,Firewall,Mozilla,Windows,2023,10,6,2,37,35,4
26,2021-01-31 03:12:04,182.232.245.98,153.211.183.215,32552,15521,UDP,531,Control,FTP,"Ad officia corporis laudantium enim cumque facere. Tempora eos ad sed eaque minima quisquam.
Cupiditate magni alias quisquam veniam. Quaerat nobis quos ad molestiae eligendi.",No Detection,87.23,no,Malware,Known Pattern A,Blocked,High,Renee Ramachandran,Segment C,"Katihar, Andhra Pradesh",183.242.33.16,Log Data,Alert Data,Firewall,Mozilla,Windows,2021,1,31,3,12,4,6
27,2020-08-28 09:54:45,208.44.127.159,121.167.40.167,56607,33023,TCP,282,Control,HTTP,Fugit quae placeat dicta tenetur ipsa. Facilis optio corrupti nulla. Eos iste voluptatum natus dignissimos fugiat.,IoC Detected,44.4,yes,DDoS,Known Pattern A,Logged,Low,Anahi Apte,Segment A,"Shahjahanpur, Andhra Pradesh",180.52.47.153,No Data,Alert Data,Firewall,Mozilla,Windows,2020,8,28,9,54,45,4
28,2021-05-29 15:33:51,197.137.61.248,87.49.219.65,64351,43307,ICMP,1487,Control,HTTP,Esse esse optio excepturi delectus dolore molestiae omnis. Eligendi omnis sapiente voluptatem corporis libero pariatur consequuntur.,IoC Detected,45.42,no,Intrusion,Known Pattern B,Blocked,Low,Faiyaz Som,Segment C,"Solapur, Madhya Pradesh",No proxy,Log Data,Alert Data,Firewall,Opera,Linux,2021,5,29,15,33,51,5
29,2022-05-30 18:26:12,69.60.34.24,160.208.108.125,19954,11594,UDP,563,Control,DNS,Quasi tempore quam recusandae. Voluptate earum placeat similique. Id voluptatibus voluptatem quas numquam expedita saepe. Itaque aspernatur fugit beatae nulla.,IoC Detected,25.7,no,Intrusion,Known Pattern B,Ignored,Medium,Kavya Shenoy,Segment C,"Coimbatore, Telangana",No proxy,Log Data,Alert Data,Firewall,Mozilla,Linux,2022,5,30,18,26,12,0
30,2022-08-02 19:15:37,110.207.118.63,172.36.150.79,63062,49527,TCP,1313,Control,HTTP,Debitis quam dolor incidunt esse quaerat amet. Ex voluptatibus temporibus beatae nulla rem rerum quam. Accusantium quibusdam velit sit.,IoC Detected,69.2,yes,DDoS,Known Pattern B,Logged,Low,Tushar Borra,Segment C,"Serampore, West Bengal",No proxy,Log Data,No Data,Firewall,Mozilla,iPad,2022,8,2,19,15,37,1
31,2023-01-10 12:29:37,188.40.103.145,84.139.233.32,39208,61136,UDP,350,Control,HTTP,Ipsa dolore eligendi amet necessitatibus. Voluptas neque praesentium possimus magni vero nam. Eius quas reiciendis rem iure tempore dolore. Asperiores ducimus omnis tenetur consequatur iure sequi.,No Detection,77.06,yes,DDoS,Known Pattern A,Ignored,Medium,Mannat Goyal,Segment A,"Gudivada, Karnataka",No proxy,Log Data,Alert Data,Firewall,Mozilla,Windows,2023,1,10,12,29,37,1
32,2020-10-15 19:05:37,99.8.190.190,91.166.229.253,12932,47900,TCP,373,Data,DNS,"Iste harum voluptas hic harum sapiente suscipit sit. Est atque veniam aliquid ipsam aut. Eveniet pariatur id facilis.
Quidem quibusdam dolor. Incidunt qui illo repellat vitae.",IoC Detected,3.87,yes,Malware,Known Pattern A,Ignored,Medium,Tushar Shenoy,Segment B,"Nellore, Tripura",No proxy,Log Data,Alert Data,Server,Opera,Linux,2020,10,15,19,5,37,3
33,2021-06-09 18:55:30,128.62.6.140,4.104.218.143,11482,16459,ICMP,1155,Control,DNS,"Maxime nihil illo recusandae iusto minima. Fugiat occaecati ullam tempora.
Earum nulla laudantium illum rem voluptatem libero. Nesciunt aliquam officiis accusantium sunt laboriosam repudiandae.",No Detection,25.93,yes,Malware,Known Pattern A,Blocked,Low,Jiya Devan,Segment B,"Ludhiana, Goa",40.171.118.90,No Data,No Data,Firewall,Mozilla,Macintosh,2021,6,9,18,55,30,2
34,2020-07-08 08:08:54,211.43.37.93,93.146.128.133,18768,8138,TCP,521,Data,FTP,"Dignissimos a rerum. Corrupti distinctio odio eligendi culpa optio.
A quis odit error. Quia ipsum consequatur mollitia animi nihil consequuntur. Sapiente reprehenderit placeat modi quaerat.",IoC Detected,60.57,yes,DDoS,Known Pattern B,Ignored,High,Yasmin Balan,Segment C,"Orai, Tamil Nadu",No proxy,Log Data,Alert Data,Server,Mozilla,iPhone,2020,7,8,8,8,54,2
35,2023-09-23 19:07:33,203.171.62.228,27.5.94.221,41615,15184,ICMP,1346,Data,FTP,Magni blanditiis veritatis asperiores nihil. Similique est quibusdam cupiditate. Voluptas a dolorem. Explicabo sapiente autem.,IoC Detected,67.73,no,Intrusion,Known Pattern A,Blocked,Low,Bhavin Chaudhari,Segment A,"Jaunpur, Uttar Pradesh",No proxy,No Data,Alert Data,Server,Mozilla,Android,2023,9,23,19,7,33,5
36,2022-05-22 03:10:27,115.120.220.179,72.56.150.150,34512,40467,UDP,1311,Control,DNS,"Id repellat nesciunt atque cumque ullam.
Quasi sunt autem enim totam temporibus. Nemo pariatur nemo possimus ducimus odio sunt impedit.
Beatae molestias dolorum vitae.",IoC Detected,75.16,no,DDoS,Known Pattern B,Blocked,Medium,Aniruddh Dani,Segment C,"Hubli–Dharwad, Chhattisgarh",No proxy,No Data,Alert Data,Firewall,Mozilla,iPhone,2022,5,22,3,10,27,6
37,2022-06-04 20:45:18,140.29.40.43,61.57.62.247,28975,5960,UDP,117,Control,FTP,"Mollitia beatae esse saepe culpa. Deserunt ipsa incidunt ipsam mollitia.
Iusto ipsum cupiditate ipsa sed. Maiores minima vero. Iste dolores qui ea neque maiores.",No Detection,75.46,yes,Malware,Known Pattern B,Logged,Low,Eva Dalal,Segment B,"Sagar, Mizoram",No proxy,No Data,No Data,Server,Mozilla,Android,2022,6,4,20,45,18,5
38,2022-12-29 23:42:12,76.128.95.185,142.92.111.242,46111,15554,TCP,1271,Control,HTTP,"Ad minima praesentium ducimus doloribus nobis quos. Mollitia illum laudantium vitae enim.
Optio et laboriosam non expedita perspiciatis iusto.",No Detection,49.03,yes,Malware,Known Pattern B,Logged,Medium,Nehmat Joshi,Segment C,"Medininagar, Gujarat",No proxy,No Data,Alert Data,Firewall,Opera,Windows,2022,12,29,23,42,12,3
39,2023-03-14 07:27:32,118.23.216.0,109.17.204.56,5032,1068,TCP,308,Control,DNS,"Debitis ut occaecati nostrum tempore sunt illum. Repudiandae dolorum reiciendis aperiam. Minima sequi alias doloremque ducimus.
Illo officia molestiae voluptas. Rem ullam placeat ea.",No Detection,85.28,yes,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,Segment A,"Ichalkaranji, Sikkim",153.251.24.124,No Data,No Data,Server,Mozilla,iPhone,2023,3,14,7,27,32,1
40,2021-02-13 16:45:36,212.153.110.146,59.138.247.230,58316,54095,TCP,545,Data,DNS,Officia odio expedita. Ab facilis recusandae debitis labore eaque non impedit. Maiores eveniet in ipsam ducimus consequuntur cupiditate.,No Detection,6.44,no,DDoS,Known Pattern B,Ignored,Medium,Ela Guha,Segment A,"Bidar, Maharashtra",No proxy,No Data,Alert Data,Firewall,Mozilla,iPod,2021,2,13,16,45,36,5
41,2021-05-23 16:29:26,6.64.251.220,137.104.11.138,26896,45972,UDP,572,Control,DNS,Voluptatem aliquam sit. Asperiores quae doloremque at sit dolorem. Laboriosam necessitatibus in magni.,No Detection,22.17,no,DDoS,Known Pattern B,Ignored,Low,Keya Biswas,Segment B,"Dewas, Uttar Pradesh",172.194.101.64,Log Data,Alert Data,Server,Mozilla,Windows,2021,5,23,16,29,26,6
42,2022-12-01 08:47:07,170.112.189.99,21.28.78.79,1031,40417,TCP,1474,Control,HTTP,Impedit itaque debitis repellendus. Reprehenderit ad dolore officiis natus placeat. Ducimus nostrum perferendis praesentium.,IoC Detected,29.66,no,DDoS,Known Pattern B,Logged,Low,Trisha Rajagopal,Segment A,"Adoni, Tripura",No proxy,No Data,No Data,Firewall,Mozilla,Linux,2022,12,1,8,47,7,3
43,2022-07-21 20:33:30,50.30.140.36,76.154.100.68,57124,48417,UDP,1363,Data,FTP,Nulla magnam minima dolor similique tempore assumenda. Voluptatum ad voluptate expedita.,IoC Detected,10.75,yes,Intrusion,Known Pattern A,Blocked,High,Farhan Mahal,Segment A,"Eluru, Uttarakhand",No proxy,Log Data,No Data,Server,Mozilla,Windows,2022,7,21,20,33,30,3
44,2023-06-09 05:57:13,194.120.14.24,201.55.168.126,32979,3852,UDP,443,Data,DNS,"Dicta ex ex asperiores consequuntur. Nostrum beatae aspernatur atque assumenda necessitatibus dolore.
Inventore inventore laborum praesentium. Laborum quisquam tenetur minima.",No Detection,42.14,yes,Malware,Known Pattern B,Ignored,High,Zara Kar,Segment A,"Parbhani, Rajasthan",16.90.191.251,Log Data,Alert Data,Server,Mozilla,Macintosh,2023,6,9,5,57,13,4
45,2020-04-10 18:21:31,69.29.17.248,85.236.61.31,59738,44531,TCP,1026,Data,FTP,Esse harum consequuntur numquam sint tempore ducimus. Autem numquam nostrum id mollitia veritatis. Incidunt odit perspiciatis hic placeat aut accusantium. Possimus voluptatibus consectetur quis.,No Detection,77.73,no,DDoS,Known Pattern B,Logged,Low,Samar Loyal,Segment A,"Panvel, West Bengal",No proxy,No Data,No Data,Firewall,Opera,Linux,2020,4,10,18,21,31,4
46,2023-05-16 13:01:56,170.211.138.30,172.97.181.148,25022,6593,TCP,554,Control,DNS,Voluptate mollitia cupiditate necessitatibus nisi expedita pariatur. Recusandae dolorum eligendi qui placeat placeat molestiae dolorum. Odio sequi aut deleniti eius molestias.,IoC Detected,97.82,yes,Malware,Known Pattern B,Blocked,High,Aradhya Kamdar,Segment A,"Amravati, Kerala",95.170.137.42,Log Data,Alert Data,Firewall,Mozilla,iPod,2023,5,16,13,1,56,1
47,2020-10-08 04:34:34,107.247.253.62,45.35.146.21,10584,23178,ICMP,649,Data,HTTP,Velit quis ad a aliquam veniam laboriosam dignissimos. Assumenda tenetur maiores animi harum iusto aut. Itaque quidem voluptas quidem.,IoC Detected,83.36,yes,Intrusion,Known Pattern A,Blocked,High,Hansh Chaudhari,Segment C,"Vijayawada, Bihar",197.238.110.123,No Data,Alert Data,Server,Mozilla,Linux,2020,10,8,4,34,34,3
48,2021-08-20 14:42:57,118.175.170.127,43.100.128.47,23934,57206,TCP,1378,Control,DNS,"Pariatur quia dolore praesentium. Ut dolorem nihil nulla.
Ab unde maiores deserunt tempora. Debitis numquam sed nisi. Vitae deleniti cum.",IoC Detected,40.71,no,Malware,Known Pattern A,Blocked,Medium,Nishith Tandon,Segment C,"Giridih, Chhattisgarh",20.86.235.147,Log Data,Alert Data,Firewall,Mozilla,Windows,2021,8,20,14,42,57,4
49,2021-05-08 04:56:17,16.65.249.237,24.79.26.247,57819,10509,ICMP,107,Data,HTTP,Repellendus tempora rerum sed numquam vel accusantium. Sunt tempore ut ipsa vero sequi perspiciatis.,No Detection,1.33,yes,DDoS,Known Pattern B,Ignored,High,Ishita Tella,Segment A,"Nashik, Assam",131.208.67.33,Log Data,No Data,Firewall,Mozilla,Windows,2021,5,8,4,56,17,5
50,2023-01-18 01:12:24,122.130.86.58,110.54.165.63,49005,19289,ICMP,317,Data,HTTP,Officia tenetur aliquam facere quasi numquam. Assumenda similique quisquam facilis porro nisi.,IoC Detected,56.92,no,DDoS,Known Pattern A,Ignored,Low,Mohanlal Talwar,Segment A,"Medininagar, Himachal Pradesh",79.251.62.155,Log Data,Alert Data,Server,Mozilla,Windows,2023,1,18,1,12,24,2
51,2021-04-16 12:48:40,193.45.37.6,191.56.96.54,56497,23998,ICMP,875,Data,HTTP,Tempore illo sit commodi. Quos doloremque mollitia quidem quia dolor.,IoC Detected,0.9,no,DDoS,Known Pattern B,Blocked,High,Aradhya Yadav,Segment B,"Tiruppur, Nagaland",211.236.141.117,No Data,No Data,Server,Mozilla,Windows,2021,4,16,12,48,40,4
52,2022-04-28 14:18:26,68.123.14.202,168.106.24.90,32348,12619,UDP,576,Data,DNS,"Aut perferendis eum ipsum iure accusantium. Dolorem voluptate voluptas.
Velit nostrum mollitia ea unde expedita cupiditate. Quidem quibusdam autem iusto molestias voluptates.",No Detection,77.7,no,DDoS,Known Pattern A,Blocked,Low,Samarth Shenoy,Segment B,"Siliguri, Haryana",No proxy,Log Data,No Data,Firewall,Opera,Linux,2022,4,28,14,18,26,3
53,2023-02-20 06:41:55,19.14.168.54,68.144.93.235,23870,21385,TCP,619,Data,FTP,"Et magnam magnam voluptatibus ullam eum. Deserunt commodi quasi molestias nam illum. Accusantium in nam consectetur dolorum.
Tempora mollitia officiis dolore. Nihil cum harum in porro.",IoC Detected,67.56,yes,Intrusion,Known Pattern B,Logged,High,Siya Singhal,Segment B,"Tiruppur, Bihar",No proxy,Log Data,No Data,Server,Opera,Windows,2023,2,20,6,41,55,0
54,2020-12-13 02:43:04,168.159.245.149,211.64.146.125,46895,63852,TCP,1224,Data,HTTP,Molestias facilis maiores similique. Itaque dolore nihil voluptates possimus sint error. Doloribus nobis ratione totam.,IoC Detected,91.82,yes,Malware,Known Pattern A,Logged,Medium,Urvi Jani,Segment C,"Guntur, Tamil Nadu",No proxy,No Data,Alert Data,Server,Mozilla,Linux,2020,12,13,2,43,4,6
55,2022-08-20 07:46:57,22.96.76.59,43.219.176.9,11468,31398,TCP,632,Data,FTP,Voluptatum doloribus unde nobis ad. Ut optio repellat consequatur soluta sit. Quasi sapiente pariatur perspiciatis perferendis nulla.,No Detection,50.13,no,Malware,Known Pattern A,Logged,Low,Faiyaz Singh,Segment C,"Bhimavaram, Assam",No proxy,Log Data,No Data,Firewall,Mozilla,Windows,2022,8,20,7,46,57,5
56,2022-05-23 04:50:39,163.93.76.114,36.148.218.135,30954,3615,UDP,670,Control,HTTP,"Temporibus culpa recusandae. Molestiae numquam culpa quae quae exercitationem.
Voluptatem eius itaque unde aspernatur animi impedit. Odio non quam cum cupiditate voluptatem.",No Detection,41.53,no,Intrusion,Known Pattern B,Blocked,Low,Piya Gole,Segment A,"Hazaribagh, Uttar Pradesh",No proxy,Log Data,No Data,Server,Mozilla,Macintosh,2022,5,23,4,50,39,0
57,2020-01-12 11:01:33,37.225.176.201,204.179.190.185,59009,28541,ICMP,88,Data,HTTP,Magni facere sequi atque vero iste incidunt. Dicta architecto sequi eum fuga. Iure ipsa dolorum laboriosam voluptas neque optio.,No Detection,91.21,no,DDoS,Known Pattern B,Blocked,High,Anaya Anand,Segment C,"Vadodara, Himachal Pradesh",No proxy,Log Data,No Data,Server,Mozilla,Linux,2020,1,12,11,1,33,6
58,2021-03-24 09:50:44,123.233.44.106,154.223.194.82,38169,9878,TCP,1497,Control,HTTP,Iusto voluptas nesciunt dignissimos incidunt. Enim quasi quidem impedit quos.,No Detection,82.8,yes,Malware,Known Pattern B,Ignored,Low,Tara Deol,Segment C,"Bhatpara, West Bengal",98.113.146.243,No Data,Alert Data,Server,Mozilla,Windows,2021,3,24,9,50,44,2
59,2020-01-12 19:33:29,158.145.58.183,82.213.128.111,35384,2184,ICMP,304,Data,DNS,Consequatur ea sint tempore. Harum ea nemo quod.,No Detection,78.85,no,Intrusion,Known Pattern A,Ignored,High,Romil Sami,Segment A,"Noida, Mizoram",122.32.192.199,Log Data,No Data,Firewall,Mozilla,iPod,2020,1,12,19,33,29,6
